gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3418863167	d0d5ef85-71b2-4da6-b6f6-c1c3d60987d3		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Meles	Meles meles		SPECIES	Meles meles (Linnaeus, 1758)	Meles meles Linnaeus, 1758		DE	see site coordinates		PRESENT		cec55b6c-5728-473a-b1b5-f045b3f494f6	52.88686	12.896851							2018-10-09T00:00:00	9	10	2018	2433875	2433875	OBSERVATION	BOKU	Roadkill	boku:spotteron:roadkill:id:53083				CC_BY_4_0					2023-01-25T09:13:42.054Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES
3418863166	d0d5ef85-71b2-4da6-b6f6-c1c3d60987d3		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Mustela	Mustela nivalis		SPECIES	Mustela nivalis Linnaeus, 1766	Mustela nivalis Linnaeus, 1766		AT	see site coordinates		PRESENT		cec55b6c-5728-473a-b1b5-f045b3f494f6	47.869131	16.648558							2014-11-10T00:00:00	10	11	2014	5218987	5218987	OBSERVATION	BOKU	Roadkill	boku:spotteron:roadkill:id:1383		Florian Heigl		CC_BY_4_0					2023-01-25T09:13:42.054Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES
3418863165	d0d5ef85-71b2-4da6-b6f6-c1c3d60987d3		Animalia	Chordata	Aves	Columbiformes	Columbidae	Columba	Columba livia	domestica	VARIETY	Columba livia var. domestica J.F.Gmelin, 1789	Columba livia domestica Gmelin, 1789		DE	see site coordinates		PRESENT		cec55b6c-5728-473a-b1b5-f045b3f494f6	53.557605	13.261155							2018-09-24T00:00:00	24	9	2018	10729360	2495414	OBSERVATION	BOKU	Roadkill	boku:spotteron:roadkill:id:50808		Norbert Teufelbauer (BirdLife Austria)		CC_BY_4_0					2023-01-25T09:13:42.054Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES
3418863164	d0d5ef85-71b2-4da6-b6f6-c1c3d60987d3		Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus	Lepus europaeus		SPECIES	Lepus europaeus Pallas, 1778	Lepus europaeus Pallas, 1778		AT	see site coordinates		PRESENT		cec55b6c-5728-473a-b1b5-f045b3f494f6	47.75649	16.97956							2019-04-27T00:00:00	27	4	2019	7952072	7952072	OBSERVATION	BOKU	Roadkill	boku:spotteron:roadkill:id:92679				CC_BY_4_0					2023-01-25T09:13:42.051Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES
3418863163	d0d5ef85-71b2-4da6-b6f6-c1c3d60987d3		Animalia	Chordata	Amphibia	Anura	Bufonidae	Bufo	Bufo bufo		SPECIES	Bufo bufo (Linnaeus, 1758)	Bufo bufo Linnaeus, 1758		AT	see site coordinates		PRESENT		cec55b6c-5728-473a-b1b5-f045b3f494f6	46.561113	14.660309							2019-03-25T00:00:00	25	3	2019	5217160	5217160	OBSERVATION	BOKU	Roadkill	boku:spotteron:roadkill:id:78362				CC_BY_4_0					2023-01-25T09:13:42.054Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES
3418863162	d0d5ef85-71b2-4da6-b6f6-c1c3d60987d3		Animalia	Chordata	Aves						CLASS	Aves	Aves Linnaeus, 1758		AT	see site coordinates		PRESENT		cec55b6c-5728-473a-b1b5-f045b3f494f6	48.445831	16.16326							2020-06-30T00:00:00	30	6	2020	212		OBSERVATION	BOKU	Roadkill	boku:spotteron:roadkill:id:238800				CC_BY_4_0					2023-01-25T09:13:42.054Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES
3418863161	d0d5ef85-71b2-4da6-b6f6-c1c3d60987d3		Animalia	Chordata	Aves						CLASS	Aves	Aves Linnaeus, 1758		AT	see site coordinates		PRESENT		cec55b6c-5728-473a-b1b5-f045b3f494f6	48.528424	16.193871							2019-01-20T00:00:00	20	1	2019	212		OBSERVATION	BOKU	Roadkill	boku:spotteron:roadkill:id:213532				CC_BY_4_0					2023-01-25T09:13:42.052Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES
3418863160	d0d5ef85-71b2-4da6-b6f6-c1c3d60987d3		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Martes	Martes foina		SPECIES	Martes foina (Erxleben, 1777)	Martes foina Erxleben, 1777		AT	see site coordinates		PRESENT		cec55b6c-5728-473a-b1b5-f045b3f494f6	46.791625	13.673861							2020-06-09T00:00:00	9	6	2020	5218887	5218887	OBSERVATION	BOKU	Roadkill	boku:spotteron:roadkill:id:230098				CC_BY_4_0					2023-01-25T09:13:42.052Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES
3418863159	d0d5ef85-71b2-4da6-b6f6-c1c3d60987d3		Animalia	Chordata	Amphibia	Anura	Bufonidae	Bufo	Bufo bufo		SPECIES	Bufo bufo (Linnaeus, 1758)	Bufo bufo Linnaeus, 1758		AT	see site coordinates		PRESENT		cec55b6c-5728-473a-b1b5-f045b3f494f6	46.560913	14.761957							2019-03-25T00:00:00	25	3	2019	5217160	5217160	OBSERVATION	BOKU	Roadkill	boku:spotteron:roadkill:id:78364				CC_BY_4_0					2023-01-25T09:13:42.054Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES
3418863158	d0d5ef85-71b2-4da6-b6f6-c1c3d60987d3		Animalia	Chordata	Amphibia	Anura	Bufonidae	Bufotes	Bufotes viridis		SPECIES	Bufotes viridis (Laurenti, 1768)	Bufotes viridis Laurenti, 1768		AT	see site coordinates		PRESENT		cec55b6c-5728-473a-b1b5-f045b3f494f6	48.439396	16.130311							2019-08-04T00:00:00	4	8	2019	9529916	9529916	OBSERVATION	BOKU	Roadkill	boku:spotteron:roadkill:id:136807				CC_BY_4_0					2023-01-25T09:13:42.053Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES
